id,cleared,debit,credit,account_id,budget_goal_id,transaction_id,created_at,updated_at,date,account_reconciliation_id,account_reconciliations_id,account_balance_id
5839,f,31.62,,633,,35,"2018-04-12 00:17:54.800865","2018-04-12 00:17:54.800865",2018-01-06,,,2682
5840,t,,31.62,626,,35,"2018-04-12 00:17:54.821219","2018-05-05 18:41:17.847125",2018-01-06,31,,1981
5841,f,894.72,,632,,36,"2018-04-12 00:17:54.856513","2018-04-12 00:17:54.856513",2018-01-06,,,2423
5842,t,,894.72,611,,36,"2018-04-12 00:17:54.870396","2018-04-14 18:59:34.086048",2018-01-06,6,,7
5843,t,7.0,,614,,37,"2018-04-12 00:17:54.908578","2018-04-18 03:47:43.659277",2018-01-07,20,,404
5844,f,,7.0,642,,37,"2018-04-12 00:17:54.931857","2018-04-12 00:17:54.931857",2018-01-07,,,3689
5845,f,8.0,,639,,38,"2018-04-12 00:17:54.968040","2018-04-12 00:17:54.968040",2018-01-08,,,3434
5846,t,,8.0,626,,38,"2018-04-12 00:17:54.986764","2018-05-05 18:41:39.457366",2018-01-08,31,,1983
5847,f,100.0,,637,,39,"2018-04-12 00:17:55.027646","2018-04-12 00:17:55.027646",2018-01-08,,,3204
5848,t,,100.0,615,,39,"2018-04-12 00:17:55.046203","2018-04-18 03:52:50.054510",2018-01-08,21,,537
5849,f,17.0,,637,,40,"2018-04-12 00:17:55.091997","2018-04-12 00:17:55.091997",2018-01-08,,,3204
5850,t,,17.0,615,,40,"2018-04-12 00:17:55.113521","2018-04-18 03:52:51.524342",2018-01-08,21,,537
5851,f,5.19,,637,,41,"2018-04-12 00:17:55.151709","2018-04-12 00:17:55.151709",2018-01-08,,,3204
5852,t,,5.19,626,,41,"2018-04-12 00:17:55.169874","2018-05-05 18:41:55.754403",2018-01-08,31,,1983
5853,f,,9.53,637,,42,"2018-04-12 00:17:55.205315","2018-05-05 18:38:42.929420",2018-01-08,,,3204
5854,t,9.53,,626,,42,"2018-04-12 00:17:55.222703","2018-05-05 18:39:46.198752",2018-01-08,31,,1983
5855,f,,63.74,637,,43,"2018-04-12 00:17:55.260586","2018-05-05 18:37:38.126970",2018-01-08,,,3204
5856,t,63.74,,626,,43,"2018-04-12 00:17:55.277992","2018-05-05 18:38:19.256777",2018-01-08,31,,1983
5857,f,12.0,,637,,44,"2018-04-12 00:17:55.316837","2018-04-12 00:17:55.316837",2018-01-08,,,3204
5858,t,,12.0,626,,44,"2018-04-12 00:17:55.333721","2018-05-05 18:41:47.286553",2018-01-08,31,,1983
5859,f,12.96,,634,,45,"2018-04-12 00:17:55.370857","2018-04-12 00:17:55.370857",2018-01-08,,,2815
5860,t,,12.96,626,,45,"2018-04-12 00:17:55.387992","2018-05-05 18:42:04.209344",2018-01-08,31,,1983
5861,t,350.0,,611,,46,"2018-04-12 00:17:55.419836","2018-04-14 18:59:28.971867",2018-01-08,6,,9
5862,t,,350.0,612,,46,"2018-04-12 00:17:55.434854","2018-04-18 01:40:05.406760",2018-01-08,10,,141
5863,f,3.0,,637,,47,"2018-04-12 00:17:55.476083","2018-04-12 00:17:55.476083",2018-01-09,,,3205
5864,t,,3.0,626,,47,"2018-04-12 00:17:55.494241","2018-05-05 18:42:12.438055",2018-01-09,31,,1984
5865,f,12.27,,634,,48,"2018-04-12 00:17:55.531244","2018-04-12 00:17:55.531244",2018-01-10,,,2817
5866,t,,12.27,626,,48,"2018-04-12 00:17:55.548148","2018-05-05 18:42:19.087998",2018-01-10,31,,1985
5867,t,22.0,,615,,49,"2018-04-12 00:17:55.589915","2018-04-18 03:52:52.711545",2018-01-11,21,,540
5868,f,,22.0,641,,49,"2018-04-12 00:17:55.610026","2018-04-12 00:17:55.610026",2018-01-11,,,3567
5869,f,67.45,,639,,50,"2018-04-12 00:17:55.641319","2018-04-12 00:17:55.641319",2018-01-11,,,3437
5870,t,,67.45,626,,50,"2018-04-12 00:17:55.655784","2018-05-05 18:42:44.384335",2018-01-11,31,,1986
5871,f,33.99,,637,,51,"2018-04-12 00:17:55.692237","2018-04-12 00:17:55.692237",2018-01-11,,,3207
5872,t,,33.99,626,,51,"2018-04-12 00:17:55.704658","2018-05-05 18:42:32.371746",2018-01-11,31,,1986
5875,f,5.85,,634,,53,"2018-04-12 00:17:55.799141","2018-04-12 00:17:55.799141",2018-01-11,,,2818
5876,t,,5.85,626,,53,"2018-04-12 00:17:55.816297","2018-05-05 18:42:24.518009",2018-01-11,31,,1986
5877,f,4.78,,634,,54,"2018-04-12 00:17:55.852768","2018-04-12 00:17:55.852768",2018-01-11,,,2818
5878,t,,4.78,626,,54,"2018-04-12 00:17:55.867968","2018-05-05 18:42:38.226586",2018-01-11,31,,1986
5879,f,32.93,,636,,55,"2018-04-12 00:17:55.899795","2018-04-12 00:17:55.899795",2018-01-11,,,3076
5880,t,,39.9,626,,55,"2018-04-12 00:17:55.916883","2018-05-05 18:45:27.686659",2018-01-11,31,,1986
5881,f,5.99,,634,,56,"2018-04-12 00:17:55.954842","2018-04-12 00:17:55.954842",2018-01-12,,,2819
5882,t,,5.99,626,,56,"2018-04-12 00:17:55.971897","2018-05-05 18:46:17.954904",2018-01-12,31,,1987
5883,t,149.45,,611,,57,"2018-04-12 00:17:56.007902","2018-04-14 18:59:39.681612",2018-01-12,6,,13
5884,f,,149.45,637,,57,"2018-04-12 00:17:56.028586","2018-04-12 00:17:56.028586",2018-01-12,,,3208
5885,f,7.96,,639,,58,"2018-04-12 00:17:56.067608","2018-04-12 00:17:56.067608",2018-01-13,,,3439
5886,t,,7.96,626,,58,"2018-04-12 00:17:56.085796","2018-05-05 18:46:30.837080",2018-01-13,31,,1988
5887,f,10.0,,637,,59,"2018-04-12 00:17:56.122445","2018-04-12 00:17:56.122445",2018-01-13,,,3209
5888,t,,10.0,626,,59,"2018-04-12 00:17:56.136737","2018-05-05 18:46:38.856974",2018-01-13,31,,1988
5889,f,33.88,,637,,60,"2018-04-12 00:17:56.174897","2018-04-12 00:17:56.174897",2018-01-13,,,3209
5890,t,,33.88,626,,60,"2018-04-12 00:17:56.193085","2018-05-05 18:46:45.879810",2018-01-13,31,,1988
5891,f,137.81,,632,,61,"2018-04-12 00:17:56.227883","2018-04-12 00:17:56.227883",2018-01-13,,,2430
5892,t,,137.81,611,,61,"2018-04-12 00:17:56.244754","2018-04-14 18:59:45.954755",2018-01-13,6,,14
5893,f,10.0,,639,,62,"2018-04-12 00:17:56.281625","2018-04-12 00:17:56.281625",2018-01-14,,,3440
5894,t,,10.0,615,,62,"2018-04-12 00:17:56.294697","2018-04-18 03:52:54.316692",2018-01-14,21,,543
5895,f,14.17,,634,,63,"2018-04-12 00:17:56.333094","2018-04-12 00:17:56.333094",2018-01-14,,,2821
5896,t,,14.17,626,,63,"2018-04-12 00:17:56.348782","2018-05-05 18:46:51.513937",2018-01-14,31,,1989
5897,t,223.0,,615,,64,"2018-04-12 00:17:56.385539","2018-04-18 03:52:56.238262",2018-01-15,21,,544
5898,f,,223.0,641,,64,"2018-04-12 00:17:56.402046","2018-04-12 00:17:56.402046",2018-01-15,,,3571
5899,f,7.55,,637,,65,"2018-04-12 00:17:56.440356","2018-04-12 00:17:56.440356",2018-01-15,,,3211
5900,t,,7.55,626,,65,"2018-04-12 00:17:56.456679","2018-05-05 18:46:58.249418",2018-01-15,31,,1990
5901,f,41.15,,634,,66,"2018-04-12 00:17:56.491348","2018-04-12 00:17:56.491348",2018-01-15,,,2822
5902,t,,56.44,626,,66,"2018-04-12 00:17:56.504996","2018-05-05 18:48:36.790419",2018-01-15,31,,1990
5905,t,9.0,,615,,68,"2018-04-12 00:17:56.596249","2018-04-18 03:52:56.097704",2018-01-17,21,,546
5906,f,,9.0,641,,68,"2018-04-12 00:17:56.617527","2018-04-12 00:17:56.617527",2018-01-17,,,3573
5907,t,294.11,,611,,69,"2018-04-12 00:17:56.656080","2018-04-14 18:59:56.937367",2018-01-17,6,,18
5908,f,,1153.85,641,,69,"2018-04-12 00:17:56.673249","2018-05-07 01:18:35.689566",2018-01-17,,,3573
5909,t,1272.25,,611,,70,"2018-04-12 00:17:56.712761","2018-04-14 18:59:50.919774",2018-01-17,6,,18
5910,f,,2720.65,641,,70,"2018-04-12 00:17:56.734704","2018-05-07 01:18:36.399955",2018-01-17,,,3573
5911,t,14.0,,615,,71,"2018-04-12 00:17:56.780552","2018-04-18 03:56:54.293263",2018-01-18,21,,547
5912,f,,14.0,641,,71,"2018-04-12 00:17:56.802402","2018-04-12 00:17:56.802402",2018-01-18,,,3574
5913,f,7.49,,639,,72,"2018-04-12 00:17:56.839940","2018-04-12 00:17:56.839940",2018-01-18,,,3444
5914,t,,7.49,626,,72,"2018-04-12 00:17:56.859891","2018-05-05 18:49:40.269386",2018-01-18,31,,1993
5915,f,13.13,,634,,73,"2018-04-12 00:17:56.899642","2018-04-12 00:17:56.899642",2018-01-18,,,2825
5916,t,,13.13,626,,73,"2018-04-12 00:17:56.916602","2018-05-05 18:49:35.213057",2018-01-18,31,,1993
5917,f,3.09,,634,,74,"2018-04-12 00:17:56.953778","2018-04-12 00:17:56.953778",2018-01-18,,,2825
5918,t,,3.09,626,,74,"2018-04-12 00:17:56.970476","2018-05-05 18:49:30.530920",2018-01-18,31,,1993
5919,t,52.0,,615,,75,"2018-04-12 00:17:57.008796","2018-04-18 03:57:03.090387",2018-01-19,21,,548
5920,f,,52.0,641,,75,"2018-04-12 00:17:57.026455","2018-04-12 00:17:57.026455",2018-01-19,,,3575
5921,f,12.28,,634,,76,"2018-04-12 00:17:57.060698","2018-04-12 00:17:57.060698",2018-01-19,,,2826
5922,t,,12.28,626,,76,"2018-04-12 00:17:57.079703","2018-05-05 18:49:51.445381",2018-01-19,31,,1994
5923,f,18.98,,634,,77,"2018-04-12 00:17:57.117677","2018-04-12 00:17:57.117677",2018-01-19,,,2826
5924,t,,18.98,626,,77,"2018-04-12 00:17:57.139652","2018-05-05 18:49:57.611952",2018-01-19,31,,1994
5925,f,28.95,,636,,78,"2018-04-12 00:17:57.175189","2018-04-12 00:17:57.175189",2018-01-19,,,3084
5926,t,,28.95,626,,78,"2018-04-12 00:17:57.192234","2018-05-05 18:49:45.671033",2018-01-19,31,,1994
5927,t,98.0,,615,,79,"2018-04-12 00:17:57.226059","2018-04-18 03:57:05.534607",2018-01-20,21,,549
5928,f,,98.0,641,,79,"2018-04-12 00:17:57.240564","2018-04-12 00:17:57.240564",2018-01-20,,,3576
5929,f,4.54,,639,,80,"2018-04-12 00:17:57.277982","2018-04-12 00:17:57.277982",2018-01-20,,,3446
5930,t,,4.54,626,,80,"2018-04-12 00:17:57.293282","2018-05-05 18:50:04.323134",2018-01-20,31,,1995
5931,f,5.79,,634,,81,"2018-04-12 00:17:57.326839","2018-04-12 00:17:57.326839",2018-01-20,,,2827
5932,t,,5.79,626,,81,"2018-04-12 00:17:57.342128","2018-05-05 18:50:09.534946",2018-01-20,31,,1995
5933,f,6.5,,634,,82,"2018-04-12 00:17:57.379144","2018-04-12 00:17:57.379144",2018-01-20,,,2827
5934,t,,6.5,626,,82,"2018-04-12 00:17:57.395101","2018-05-05 18:50:14.997018",2018-01-20,31,,1995
5935,t,33.0,,615,,83,"2018-04-12 00:17:57.435002","2018-04-18 03:54:45.995672",2018-01-21,21,,550
5936,f,,33.0,641,,83,"2018-04-12 00:17:57.449868","2018-04-12 00:17:57.449868",2018-01-21,,,3577
5937,f,15.28,,634,,84,"2018-04-12 00:17:57.488292","2018-04-12 00:17:57.488292",2018-01-21,,,2828
5938,t,,15.28,626,,84,"2018-04-12 00:17:57.502734","2018-05-05 18:50:21.424811",2018-01-21,31,,1996
5939,f,26.16,,636,,85,"2018-04-12 00:17:57.545260","2018-04-12 00:17:57.545260",2018-01-21,,,3086
5940,t,,26.16,626,,85,"2018-04-12 00:17:57.562767","2018-05-05 18:50:26.594321",2018-01-21,31,,1996
5941,f,8.0,,634,,86,"2018-04-12 00:17:57.607399","2018-04-12 00:17:57.607399",2018-01-23,,,2830
5942,t,,8.0,615,,86,"2018-04-12 00:17:57.626875","2018-04-18 03:53:24.831197",2018-01-23,21,,552
5943,t,7.0,,615,,87,"2018-04-12 00:17:57.669354","2018-04-18 03:53:24.900734",2018-01-24,21,,553
5944,f,,7.0,641,,87,"2018-04-12 00:17:57.694122","2018-04-12 00:17:57.694122",2018-01-24,,,3580
5947,f,5.26,,634,,89,"2018-04-12 00:17:57.822525","2018-04-12 00:17:57.822525",2018-01-24,,,2831
5948,t,,7.75,626,,89,"2018-04-12 00:17:57.842361","2018-05-05 18:52:26.162249",2018-01-24,31,,1999
5949,f,35.21,,636,,90,"2018-04-12 00:17:57.882389","2018-04-12 00:17:57.882389",2018-01-24,,,3089
5950,t,,35.21,626,,90,"2018-04-12 00:17:57.897878","2018-05-05 18:52:52.363514",2018-01-24,31,,1999
5951,f,35.03,,633,,91,"2018-04-12 00:17:57.934329","2018-04-12 00:17:57.934329",2018-01-24,,,2700
5952,t,,35.03,626,,91,"2018-04-12 00:17:57.950743","2018-05-05 18:52:46.372049",2018-01-24,31,,1999
5953,t,25.0,,615,,92,"2018-04-12 00:17:57.989042","2018-04-18 03:53:36.283289",2018-01-25,21,,554
5954,f,,25.0,641,,92,"2018-04-12 00:17:58.003046","2018-04-12 00:17:58.003046",2018-01-25,,,3581
5955,f,13.46,,639,,93,"2018-04-12 00:17:58.043768","2018-04-12 00:17:58.043768",2018-01-25,,,3451
5956,t,,13.46,626,,93,"2018-04-12 00:17:58.061071","2018-05-05 18:52:57.607169",2018-01-25,31,,2000
5957,f,17.99,,637,,94,"2018-04-12 00:17:58.099775","2018-04-12 00:17:58.099775",2018-01-25,,,3221
5958,t,,17.99,626,,94,"2018-04-12 00:17:58.120334","2018-05-05 18:53:02.650966",2018-01-25,31,,2000
5959,f,25.56,,634,,95,"2018-04-12 00:17:58.152387","2018-04-12 00:17:58.152387",2018-01-25,,,2832
5960,t,,25.56,626,,95,"2018-04-12 00:17:58.171862","2018-05-05 18:53:07.089378",2018-01-25,31,,2000
5961,t,10.0,,615,,96,"2018-04-12 00:17:58.211002","2018-04-18 03:57:08.420567",2018-01-26,21,,555
5962,f,,10.0,641,,96,"2018-04-12 00:17:58.229343","2018-04-12 00:17:58.229343",2018-01-26,,,3582
5963,f,5.93,,639,,97,"2018-04-12 00:17:58.269954","2018-04-12 00:17:58.269954",2018-01-26,,,3452
5964,t,,5.93,626,,97,"2018-04-12 00:17:58.288363","2018-05-05 18:53:21.912729",2018-01-26,31,,2001
5965,f,33.95,,636,,98,"2018-04-12 00:17:58.323445","2018-04-12 00:17:58.323445",2018-01-26,,,3091
5966,t,,33.95,626,,98,"2018-04-12 00:17:58.340130","2018-05-05 18:53:16.203521",2018-01-26,31,,2001
5967,f,10.63,,639,,99,"2018-04-12 00:17:58.374969","2018-04-12 00:17:58.374969",2018-01-27,,,3453
5968,t,,10.63,626,,99,"2018-04-12 00:17:58.391404","2018-05-05 18:53:33.983846",2018-01-27,31,,2002
5969,f,9.68,,634,,100,"2018-04-12 00:17:58.428376","2018-04-12 00:17:58.428376",2018-01-27,,,2834
5970,t,,9.68,626,,100,"2018-04-12 00:17:58.445800","2018-05-05 18:53:28.475898",2018-01-27,31,,2002
5971,f,26.99,,637,,101,"2018-04-12 00:17:58.484976","2018-04-12 00:17:58.484976",2018-01-28,,,3224
5972,t,,26.99,626,,101,"2018-04-12 00:17:58.500696","2018-05-05 18:53:39.578491",2018-01-28,31,,2003
5973,t,2185.05,,626,,102,"2018-04-12 00:17:58.536322","2018-05-05 18:37:06.603735",2018-01-28,31,,2003
5974,t,,2185.05,611,,102,"2018-04-12 00:17:58.555018","2018-04-14 19:00:02.778120",2018-01-28,6,,29
5975,f,14.4,,634,,103,"2018-04-12 00:17:58.601803","2018-04-12 00:17:58.601803",2018-01-29,,,2836
5976,t,,14.4,626,,103,"2018-04-12 00:17:58.621204","2018-05-05 18:53:46.914466",2018-01-29,31,,2004
5977,f,350.0,,638,,104,"2018-04-12 00:17:58.653975","2018-04-12 00:17:58.653975",2018-01-30,,,3329
5978,t,,350.0,626,,104,"2018-04-12 00:17:58.668926","2018-05-05 18:53:54.429575",2018-01-30,31,,2005
5979,t,4.25,,611,,105,"2018-04-12 00:17:58.705715","2018-04-14 19:17:58.407420",2018-01-31,6,,24404
5980,t,,4.25,612,,105,"2018-04-12 00:17:58.721908","2018-04-18 01:40:57.055543",2018-01-31,10,,164
5981,t,4.25,,611,,106,"2018-04-12 00:17:58.772268","2018-04-14 19:18:00.106485",2018-01-31,6,,24404
5982,t,,4.25,613,,106,"2018-04-12 00:17:58.801868","2018-04-18 01:43:44.942144",2018-01-31,14,,296
5983,t,138.52,,611,,107,"2018-04-12 00:17:58.853499","2018-04-14 19:17:53.118947",2018-01-31,6,,24404
5984,f,,150.0,641,,107,"2018-04-12 00:17:58.873668","2018-05-07 01:18:38.197772",2018-01-31,,,3587
5985,f,5.32,,639,,108,"2018-04-12 00:17:58.909306","2018-04-12 00:17:58.909306",2018-01-31,,,3457
5986,t,,5.32,626,,108,"2018-04-12 00:17:58.926928","2018-05-05 18:54:00.042355",2018-01-31,31,,2006
5987,f,11.68,,639,,109,"2018-04-12 00:17:58.965540","2018-04-12 00:17:58.965540",2018-01-31,,,3457
5988,t,,11.68,626,,109,"2018-04-12 00:17:58.984968","2018-05-05 18:54:04.810942",2018-01-31,31,,2006
5989,f,35.0,,632,,110,"2018-04-12 00:17:59.025618","2018-04-12 00:17:59.025618",2018-01-31,,,2448
5990,t,,35.0,626,,110,"2018-04-12 00:17:59.043085","2018-05-05 18:54:10.091227",2018-01-31,31,,2006
5991,t,4.25,,612,,111,"2018-04-12 00:17:59.082656","2018-04-18 01:40:19.678228",2018-01-31,10,,164
5992,f,,4.25,642,,111,"2018-04-12 00:17:59.101093","2018-04-12 00:17:59.101093",2018-01-31,,,3713
5993,t,4.25,,613,,112,"2018-04-12 00:17:59.138427","2018-04-18 01:43:09.237864",2018-01-31,14,,296
5994,f,,4.25,642,,112,"2018-04-12 00:17:59.156720","2018-04-12 00:17:59.156720",2018-01-31,,,3713
5995,t,268.46,,611,,113,"2018-04-12 00:17:59.195422","2018-04-14 19:11:05.143208",2018-01-31,6,,24404
5996,f,,1153.85,641,,113,"2018-04-12 00:17:59.213275","2018-05-07 01:18:38.781653",2018-01-31,,,3587
5997,t,1272.25,,611,,114,"2018-04-12 00:17:59.250670","2018-04-19 13:43:18.024378",2018-01-31,6,,24404
5998,f,,2720.65,641,,114,"2018-04-12 00:17:59.267159","2018-05-07 01:18:39.476786",2018-01-31,,,3587
5999,t,12800.0,,643,,115,"2018-04-12 00:17:59.304493","2018-05-07 01:46:31.026540",2018-02-01,44,,3846
6000,f,,12800.0,629,,115,"2018-04-12 00:17:59.319483","2018-05-06 20:49:33.331288",2018-02-01,,,2186
6001,f,3.09,,639,,116,"2018-04-12 00:17:59.360495","2018-04-12 00:17:59.360495",2018-02-01,,,3458
6002,t,,3.09,626,,116,"2018-04-12 00:17:59.375930","2018-05-05 18:54:15.995178",2018-02-01,31,,2007
6003,f,11.19,,637,,117,"2018-04-12 00:17:59.411307","2018-04-12 00:17:59.411307",2018-02-01,,,3228
6004,t,,11.19,626,,117,"2018-04-12 00:17:59.426479","2018-05-05 19:13:38.398351",2018-02-01,32,,2007
6005,f,31.12,,634,,118,"2018-04-12 00:17:59.463396","2018-04-12 00:17:59.463396",2018-02-01,,,2839
6006,t,,31.12,626,,118,"2018-04-12 00:17:59.478719","2018-05-05 18:54:21.532301",2018-02-01,31,,2007
6007,f,10.0,,632,,119,"2018-04-12 00:17:59.511799","2018-04-12 00:17:59.511799",2018-02-01,,,2449
6008,t,,10.0,615,,119,"2018-04-12 00:17:59.526359","2018-04-18 03:57:10.665701",2018-02-01,21,,561
6009,f,301.02,,645,,120,"2018-04-12 00:17:59.569525","2018-04-12 00:17:59.569525",2018-02-01,,,4110
6010,t,,301.02,630,,120,"2018-04-12 00:17:59.591391","2018-04-18 01:46:54.278192",2018-02-01,18,,2318
6011,t,960.25,,630,,121,"2018-04-12 00:17:59.626699","2018-04-18 01:46:43.597567",2018-02-01,18,,2318
6012,t,,960.25,611,,121,"2018-04-12 00:17:59.644945","2018-04-14 19:18:04.517195",2018-02-01,6,,24405
6013,f,44.99,,632,,122,"2018-04-12 00:17:59.679491","2018-04-12 00:17:59.679491",2018-02-02,,,2450
6014,t,,44.99,626,,122,"2018-04-12 00:17:59.693825","2018-05-05 18:54:28.098893",2018-02-02,31,,2008
6015,f,4.45,,639,,123,"2018-04-12 00:17:59.732490","2018-04-12 00:17:59.732490",2018-02-03,,,3460
